PLAYER_NAME,SHOT_ZONE,ACTION_TYPE,# of shots,% correct predictions,expected pts,true avg pts
Marcin Gortat,Restricted Area - Center(C) - Less Than 8 ft.,Cutting Layup Shot,52,92.3%,1.7945116758346558,1.8461538461538463
John Wall,Restricted Area - Center(C) - Less Than 8 ft.,Driving Finger Roll Layup Shot,37,94.6%,1.7682199478149414,1.8918918918918919
Nene,Restricted Area - Center(C) - Less Than 8 ft.,Driving Layup Shot,20,80.0%,1.6223214864730835,1.6
Ramon Sessions,Restricted Area - Center(C) - Less Than 8 ft.,Driving Layup Shot,61,77.0%,1.5856740474700928,1.540983606557377
Bradley Beal,Restricted Area - Center(C) - Less Than 8 ft.,Driving Layup Shot,51,80.4%,1.5594656467437744,1.607843137254902
Marcin Gortat,Restricted Area - Center(C) - Less Than 8 ft.,Tip Layup Shot,26,76.9%,1.5498806238174438,1.5384615384615385
John Wall,Restricted Area - Center(C) - Less Than 8 ft.,Driving Layup Shot,97,72.2%,1.5066839456558228,1.443298969072165
Ramon Sessions,Restricted Area - Center(C) - Less Than 8 ft.,Running Layup Shot,22,72.7%,1.4987703561782837,1.4545454545454546
John Wall,Mid-Range - Left Side Center(LC) - 16-24 ft.,Pullup Jump shot,31,77.4%,1.4308916330337524,1.5483870967741935
John Wall,Restricted Area - Center(C) - Less Than 8 ft.,Running Layup Shot,55,72.7%,1.4080678224563599,1.4545454545454546
John Wall,Mid-Range - Center(C) - 16-24 ft.,Pullup Jump shot,30,80.0%,1.4073106050491333,1.6
John Wall,Mid-Range - Right Side Center(RC) - 16-24 ft.,Pullup Jump shot,45,71.1%,1.4039579629898071,1.4222222222222223
Marcin Gortat,In The Paint (Non-RA) - Center(C) - Less Than 8 ft.,Hook Shot,25,72.0%,1.2891157865524292,1.44
Otto Porter Jr.,Right Corner 3 - Right Side(R) - 24+ ft.,Jump Shot,52,61.5%,1.2685572803020477,1.1538461538461537
Jared Dudley,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,43,60.5%,1.246805727481842,1.186046511627907
Garrett Temple,Right Corner 3 - Right Side(R) - 24+ ft.,Jump Shot,59,62.7%,1.1041273176670074,1.11864406779661
Otto Porter Jr.,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,30,60.0%,1.0908309817314148,1.2
Bradley Beal,Left Corner 3 - Left Side(L) - 24+ ft.,Jump Shot,26,53.8%,1.0738967657089233,1.3846153846153846
Jared Dudley,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,113,66.4%,1.0649086833000183,1.008849557522124
Kris Humphries,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,24,58.3%,1.0364790558815002,1.25
Markieff Morris,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,21,71.4%,1.028687596321106,0.8571428571428571
Otto Porter Jr.,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,61,67.2%,1.0264109373092651,0.9836065573770492
Ramon Sessions,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,39,61.5%,0.9935002326965332,1.1538461538461537
Bradley Beal,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,67,61.2%,0.9330379664897919,1.164179104477612
John Wall,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,60,63.3%,0.9177136123180389,1.1
