Player,Court Zone,Shot Type,% correct predictions,expected pts,true avg pts
Marcin Gortat,Restricted Area - Center(C) - Less Than 8 ft.,Cutting Layup Shot,92.3%,1.7709745168685913,1.8461538461538463
John Wall,Restricted Area - Center(C) - Less Than 8 ft.,Driving Finger Roll Layup Shot,94.6%,1.7242329120635986,1.8918918918918919
Marcin Gortat,Restricted Area - Center(C) - Less Than 8 ft.,Tip Layup Shot,76.9%,1.4772361516952515,1.5384615384615385
Ramon Sessions,Restricted Area - Center(C) - Less Than 8 ft.,Driving Layup Shot,77.0%,1.4769207239151,1.540983606557377
Bradley Beal,Restricted Area - Center(C) - Less Than 8 ft.,Driving Layup Shot,80.4%,1.467106580734253,1.607843137254902
John Wall,Restricted Area - Center(C) - Less Than 8 ft.,Running Layup Shot,72.7%,1.4576823711395264,1.4545454545454546
John Wall,Restricted Area - Center(C) - Less Than 8 ft.,Driving Layup Shot,72.2%,1.4459275007247925,1.443298969072165
John Wall,Mid-Range - Left Side Center(LC) - 16-24 ft.,Pullup Jump shot,77.4%,1.4251766204833984,1.5483870967741935
John Wall,Mid-Range - Center(C) - 16-24 ft.,Pullup Jump shot,80.0%,1.3946607112884521,1.6
John Wall,Mid-Range - Right Side Center(RC) - 16-24 ft.,Pullup Jump shot,71.1%,1.386245846748352,1.4222222222222223
Jared Dudley,Right Corner 3 - Right Side(R) - 24+ ft.,Jump Shot,50.0%,1.3200918138027191,1.5
Marcin Gortat,In The Paint (Non-RA) - Center(C) - Less Than 8 ft.,Hook Shot,72.0%,1.2875182628631592,1.44
Otto Porter Jr.,Right Corner 3 - Right Side(R) - 24+ ft.,Jump Shot,61.5%,1.1433092057704926,1.1538461538461537
Garrett Temple,Right Corner 3 - Right Side(R) - 24+ ft.,Jump Shot,62.7%,1.1214255094528198,1.11864406779661
Jared Dudley,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,60.5%,1.0872203707695007,1.186046511627907
Otto Porter Jr.,Left Corner 3 - Left Side(L) - 24+ ft.,Jump Shot,66.0%,1.055308610200882,1.0212765957446808
Jared Dudley,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,66.4%,1.0424123704433441,1.008849557522124
Bradley Beal,Left Corner 3 - Left Side(L) - 24+ ft.,Jump Shot,53.8%,1.0307584404945374,1.3846153846153846
Garrett Temple,Left Corner 3 - Left Side(L) - 24+ ft.,Jump Shot,65.1%,1.0244126915931702,1.0476190476190477
Otto Porter Jr.,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,63.1%,1.006624549627304,1.1076923076923078
Otto Porter Jr.,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,67.2%,0.9870776832103729,0.9836065573770492
Otto Porter Jr.,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,60.0%,0.9814389646053314,1.2
Kelly Oubre Jr.,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,52.0%,0.9793125092983246,1.44
Garrett Temple,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,72.7%,0.9686006605625153,0.8181818181818182
Bradley Beal,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,67.0%,0.9652507603168488,0.9896907216494846
Bradley Beal,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,61.2%,0.9626631438732147,1.164179104477612
Garrett Temple,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,66.1%,0.9603360593318939,1.0169491525423728
Jared Dudley,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,28.6%,0.9504916667938232,1.4285714285714286
John Wall,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,63.3%,0.9400074183940887,1.1
Ramon Sessions,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,61.5%,0.9381976425647736,1.1538461538461537
Bradley Beal,Above the Break 3 - Center(C) - 24+ ft.,Jump Shot,78.1%,0.9271092116832733,0.65625
Marcin Gortat,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,55.6%,0.8521609902381897,0.8873239436619719
John Wall,Above the Break 3 - Left Side Center(LC) - 24+ ft.,Jump Shot,72.0%,0.8171770870685577,0.8387096774193549
John Wall,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,66.7%,0.780794620513916,1.0
Otto Porter Jr.,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,58.7%,0.7799095511436462,0.8253968253968254
Ramon Sessions,Above the Break 3 - Right Side Center(RC) - 24+ ft.,Jump Shot,87.1%,0.7788116633892059,0.3870967741935484
Jared Dudley,Mid-Range - Right Side Center(RC) - 16-24 ft.,Jump Shot,59.5%,0.7394880652427673,0.8095238095238095
Jared Dudley,Mid-Range - Center(C) - 16-24 ft.,Jump Shot,65.5%,0.7337052822113037,0.6896551724137931
Nene,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,67.3%,0.7172343730926514,0.6545454545454545
Ramon Sessions,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,72.9%,0.6842434406280518,0.5420560747663551
Kelly Oubre Jr.,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,73.3%,0.6833611726760864,0.5333333333333333
Otto Porter Jr.,Mid-Range - Left Side Center(LC) - 16-24 ft.,Jump Shot,60.0%,0.675606906414032,0.8
Otto Porter Jr.,Mid-Range - Right Side(R) - 16-24 ft.,Jump Shot,72.7%,0.6690647006034851,0.5454545454545454
Nene,Mid-Range - Center(C) - 16-24 ft.,Jump Shot,61.5%,0.6549573540687561,0.7692307692307693
Bradley Beal,Mid-Range - Right Side Center(RC) - 16-24 ft.,Jump Shot,75.9%,0.6287029981613159,0.4827586206896552
Marcin Gortat,Mid-Range - Right Side(R) - 8-16 ft.,Jump Shot,73.7%,0.56239253282547,0.5263157894736842
Marcin Gortat,Mid-Range - Left Side(L) - 8-16 ft.,Jump Shot,78.4%,0.5368837118148804,0.43243243243243246
Bradley Beal,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,78.9%,0.5328375697135925,0.42105263157894735
John Wall,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,84.0%,0.5231518745422363,0.32
Garrett Temple,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,88.2%,0.509505569934845,0.23529411764705882
Marcin Gortat,In The Paint (Non-RA) - Center(C) - Less Than 8 ft.,Jump Shot,72.9%,0.5028952956199646,0.5428571428571428
John Wall,Mid-Range - Center(C) - 16-24 ft.,Jump Shot,85.9%,0.4241591691970825,0.28125
John Wall,Mid-Range - Left Side Center(LC) - 16-24 ft.,Jump Shot,85.5%,0.4230542778968811,0.2909090909090909
John Wall,Mid-Range - Right Side Center(RC) - 16-24 ft.,Jump Shot,88.6%,0.412225899879228,0.22727272727272727
Bradley Beal,In The Paint (Non-RA) - Center(C) - Less Than 8 ft.,Jump Shot,89.3%,0.37788254022598267,0.21428571428571427
John Wall,Mid-Range - Right Side(R) - 8-16 ft.,Jump Shot,88.5%,0.35856592655181885,0.23076923076923078
Ramon Sessions,In The Paint (Non-RA) - Center(C) - Less Than 8 ft.,Jump Shot,97.1%,0.333435982465744,0.058823529411764705
